genre,char_name,gender,nb_movies
Drama,John,m,701
Drama,Jack,m,426
Drama,Man,m,397
Drama,Mary,f,379
Drama,Joe,m,338
Drama,Paul,m,334
Drama,Frank,m,333
Drama,George,m,325
Drama,David,m,324
Drama,Tom,m,307
Comedy,John,m,261
Comedy,Girl,f,250
Comedy,Jack,m,249
Comedy,Man,m,234
Comedy,Joe,m,193
Comedy,Frank,m,187
Comedy,George,m,186
Comedy,Sam,m,181
Comedy,Mary,f,180
Comedy,Tom,m,165
Thriller,John,m,304
Thriller,Jack,m,246
Thriller,Man,m,185
Thriller,Frank,m,183
Thriller,Agent,b,175
Thriller,Captain,b,155
Thriller,James,m,152
Thriller,David,m,151
Thriller,Michael,m,151
Thriller,Tom,m,145
Romance,John,m,233
Romance,Jack,m,146
Romance,Mary,f,142
Romance,Man,m,139
Romance,Girl,f,131
Romance,Paul,m,129
Romance,Joe,m,127
Romance,George,m,125
Romance,David,m,117
Romance,Young,m,114
Action,John,m,252
Action,Captain,m,210
Action,Jack,m,187
Action,Agent,b,156
Action,Frank,m,149
Action,Man,m,149
Action,James,m,147
Action,General,b,134
Action,Joe,m,105
Action,Chief,b,103
